nu_cm1,S_cm_per_molec,gamma_air,gamma_self,elower,iso,band_upper,band_lower,branch_J
1260.9468,1.051e-28,0.0906,0.112,2869.5175,4,0710,0510,P 4e
1260.9781,3.624e-28,0.0892,0.111,2532.7448,5,3000,2000,R 4e
1260.9785,1.489e-27,0.0696,0.084,1726.1136,4,1220,0220,Q 37e
1260.9786,1.061e-28,0.088,0.11,3038.7632,4,1530,1330,P 6e
1260.9786,1.061e-28,0.088,0.11,3038.7632,4,1530,1330,P 6f
1260.9826,1.363e-27,0.0694,0.083,2945.3424,3,1440,0440,P 38e
1260.9827,1.363e-27,0.0694,0.083,2945.3423,3,1440,0440,P 38f
1260.9872,1.256e-27,0.0694,0.083,1756.164,4,1220,0220,Q 38f
1260.9873,8.075e-23,0.0689,0.082,1866.415,1,1220,0220,P 40e
1260.9974,2.132e-28,0.082,0.105,3136.5972,4,2310,2110,R 10e
1261.0005,2.745e-25,0.0687,0.081,3045.7766,1,1400,0400,P 41e
1261.0031,2.424e-28,0.0736,0.093,4586.3329,1,3310,2310,P 24f
1261.0043,2.482e-28,0.0736,0.093,4585.2801,1,3310,2310,P 24e
1261.0053,1.938e-23,0.0722,0.09,2219.1318,1,2110,1110,P 28e
1261.0183,8.091e-23,0.0689,0.082,1866.2631,1,1220,0220,P 40f
1261.0252,7.512e-28,0.0833,0.106,3977.1951,1,1311,0311,P 10f
1261.0315,1.729e-25,0.0749,0.095,1361.3119,5,1220,0220,P 21e
1261.0322,1.154e-26,0.0754,0.096,1910.541,5,1310,0310,P 20f
1261.0345,1.729e-25,0.0749,0.095,1361.3027,5,1220,0220,P 21f
1261.0411,1.159e-26,0.0754,0.096,1909.9597,5,1310,0310,P 20e
1261.0428,1.206e-24,0.0745,0.094,1428.9321,4,2000,1000,R 21e
1261.0447,7.522e-28,0.0833,0.106,3977.034,1,1311,0311,P 10e
1261.0448,9.681e-27,0.0733,0.092,2442.4446,3,1001,0001,R 24e
1261.0477,2.407e-28,0.0715,0.088,3254.7076,3,1510,0510,P 30f
1261.0487,1.654e-24,0.0745,0.094,1365.2056,3,1200,0200,P 22e
1261.0518,6.400e-25,0.088,0.11,1167.0281,4,1200,0200,R 5e
1261.0523,1.264e-26,0.0857,0.108,2200.9329,2,1001,0001,R 7e
1261.0524,2.436e-28,0.0715,0.088,3252.848,3,1510,0510,P 30e
